    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 4700,      10987717,         5486815,           5547,    212190,       16614,        339,                  44189401,                     5379722,                      15614,       273893,         123666,           361
 4701,      10994442,         5490176,           5793,    210601,       16643,        341,                  44208205,                     5382997,                      15167,       274185,         123809,           364
 4702,      10999361,         5492634,           5512,    211990,       16560,        337,                  44227013,                     5385390,                      15503,       274076,         123794,           361
 4703,      11001504,         5493704,           5739,    218598,       16473,        337,                  44245825,                     5386435,                      15657,       274382,         123983,           363
 4704,      11008569,         5497235,           5750,    214823,       16401,        463,                  44264641,                     5389874,                      15059,       274303,         123902,           395
 4705,      11011944,         5498921,           5651,    212720,       16523,        339,                  44283461,                     5391514,                      15387,       274532,         124006,           360
 4706,      11018927,         5502411,           5520,    215485,       16454,        335,                  44302285,                     5394912,                      15433,       274603,         124011,           359
 4707,      11023186,         5504539,           5580,    215211,       16507,        342,                  44321113,                     5396981,                      15630,       274446,         123924,           362
 4708,      11029087,         5507488,           6122,    211800,       16668,        344,                  44339945,                     5399854,                      15737,       274702,         124082,           360
 4709,      11031632,         5508759,           5683,    212277,       16590,        335,                  44358781,                     5401088,                      15611,       274686,         124030,           365
 4710,      11033425,         5509654,           5526,    215225,       16604,        385,                  44377621,                     5401963,                      16049,       274693,         124055,           361
 4711,      11037720,         5511800,           5807,    212463,       16647,        340,                  44396465,                     5404050,                      16030,       274931,         124149,           362
 4712,      11043301,         5514589,           5697,    211917,       16693,        340,                  44415313,                     5406766,                      17352,       274734,         124090,           579
 4713,      11051370,         5518622,           6186,    212282,       16501,        411,                  44434165,                     5410694,                      17316,       275012,         124256,           370
 4714,      11059651,         5522761,           5564,    212258,       16670,        339,                  44453021,                     5414726,                      15545,       275013,         124181,           363
 4715,      11064102,         5524985,           5542,    212520,       16651,        341,                  44471881,                     5416888,                      15564,       274815,         124066,           365
 4716,      11064985,         5525425,           5682,    215498,       16647,        337,                  44490745,                     5417319,                      15710,       274734,         124014,           360
 4717,      11065104,         5525483,           5543,    217357,       16551,        336,                  44509613,                     5417377,                      15748,       274942,         124107,           362
 4718,      11070403,         5528131,           5616,    214920,       16598,        337,                  44528485,                     5419956,                      15628,       275154,         124315,           363
 4719,      11076548,         5531202,           5678,    211007,       16691,        350,                  44547361,                     5422949,                      15899,       275372,         124388,           363
