   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 517,        131095,           64776,             70,     17263,        1424,         31,                    535613,                       64512,                        268,        21895,           9523,            30
 518,        131574,           65014,             70,     17051,        1417,         32,                    537685,                       64748,                        269,        21959,           9544,            33
 519,        131791,           65121,             79,     17877,        1446,         32,                    539761,                       64853,                        271,        21986,           9563,            30
 520,        132560,           65504,             71,     18090,        1407,         32,                    541841,                       65232,                        272,        22065,           9595,            30
 521,        133555,           66000,             80,     17935,        1413,         31,                    543925,                       65723,                        272,        22109,           9633,            30
 522,        133824,           66133,             71,     17477,        1422,         31,                    546013,                       65854,                        273,        22194,           9663,            30
 523,        134659,           66549,             71,     17718,        1425,         31,                    548105,                       66266,                        277,        22205,           9662,            30
 524,        134830,           66633,             72,     18040,        1469,         32,                    550201,                       66348,                        276,        22292,           9710,            30
 525,        134967,           66700,             72,     18061,        1463,         31,                    552301,                       66413,                        289,        22327,           9702,            31
 526,        135556,           66993,             72,     18058,        1423,         33,                    554405,                       66704,                        277,        22438,           9793,            31
 527,        136519,           67473,             73,     18393,        1415,         37,                    556513,                       67179,                        279,        22385,           9759,            31
 528,        136980,           67702,             73,     17656,        1478,         33,                    558625,                       67406,                        281,        22489,           9792,            31
 529,        137443,           67932,             73,     17523,        1475,         31,                    560741,                       67634,                        292,        22556,           9827,            31
 530,        137810,           68114,             73,     18144,        1471,         33,                    562861,                       67814,                        484,        22610,           9849,            41
 531,        138815,           68615,            156,     18200,        1456,         37,                    564985,                       68310,                        362,        22576,           9818,            36
 532,        139542,           68977,            150,     18417,        1461,         50,                    567113,                       68669,                        484,        22713,           9886,            42
 533,        140377,           69393,            106,     17713,        1496,         49,                    569245,                       69081,                        480,        22758,           9895,            43
 534,        140700,           69553,            106,     18947,        1448,         48,                    571381,                       69239,                        462,        22814,           9963,            42
 535,        141723,           70063,            108,     18267,        1499,         52,                    573521,                       69744,                        519,        22874,           9969,            47
 536,        141944,           70172,            114,     18480,        1488,         48,                    575665,                       69851,                        429,        22862,           9965,            39
 537,        141959,           70178,             93,     18386,        1483,         42,                    577813,                       69857,                        387,        22970,          10007,            39
 538,        142272,           70333,             94,     17812,        1492,         42,                    579965,                       70010,                        392,        23035,          10024,            41
 539,        143167,           70779,             95,     18404,        1460,         42,                    582121,                       70451,                        411,        23102,          10089,            40
 540,        143648,           71018,             96,     17974,        1522,         43,                    584281,                       70688,                        537,        23128,          10088,            40
 541,        143927,           71156,             95,     17922,        1518,         43,                    586445,                       70824,                        405,        23147,          10101,            42
 542,        144692,           71537,            104,     19073,        1507,         48,                    588613,                       71201,                        469,        23238,          10140,            32
 543,        145651,           72015,             78,     19053,        1509,         42,                    590785,                       71674,                        295,        23317,          10158,            32
 544,        145870,           72123,             78,     18867,        1514,         34,                    592961,                       71780,                        296,        23322,          10146,            31
 545,        146583,           72478,             77,     17886,        1503,         36,                    595141,                       72133,                        299,        23375,          10185,            32
 546,        147306,           72838,             78,     17906,        1525,         33,                    597325,                       72490,                        299,        23434,          10195,            32
 547,        147337,           72852,             78,     18754,        1473,         35,                    599513,                       72504,                        301,        23472,          10234,            32
 548,        147352,           72858,             78,     18826,        1514,         34,                    601705,                       72510,                        302,        23561,          10259,            32
 549,        148201,           73281,             78,     18497,        1515,         33,                    603901,                       72929,                        304,        23557,          10261,            32
 550,        148592,           73475,             79,     18760,        1533,         33,                    606101,                       73121,                        303,        23597,          10267,            31
 551,        149139,           73747,             79,     18430,        1542,         36,                    608305,                       73391,                        317,        23639,          10272,            32
 552,        149300,           73826,             79,     18234,        1542,         34,                    610513,                       73468,                        305,        23744,          10347,            32
 553,        149687,           74018,             79,     18372,        1555,         45,                    612725,                       73658,                        306,        23811,          10389,            33
 554,        150388,           74367,             80,     18751,        1533,         34,                    614941,                       74005,                        307,        23802,          10359,            33
 555,        151353,           74848,             82,     18771,        1527,         33,                    617161,                       74481,                        309,        23795,          10353,            32
 556,        151714,           75027,             80,     18737,        1553,         34,                    619385,                       74658,                        310,        23925,          10406,            32
 557,        152801,           75569,             92,     19575,        1554,         35,                    621613,                       75195,                        453,        23984,          10455,            75
 558,        152822,           75578,            101,     19271,        1583,        184,                    623845,                       75204,                        575,        24029,          10485,            51
 559,        153927,           76129,            116,     19914,        1538,         54,                    626081,                       75750,                        540,        24016,          10446,            47
 560,        154292,           76310,            119,     18911,        1583,         50,                    628321,                       75929,                        529,        24098,          10480,            46
 561,        154701,           76513,            128,     18967,        1569,         56,                    630565,                       76130,                        592,        24206,          10536,            50
 562,        154970,           76646,            124,     19091,        1553,         59,                    632813,                       76261,                        578,        24248,          10592,            47
