    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 3023,         11643,            1289,             16,     83146,        4060,         84,                  18283105,                        5521,                       8274,       175933,          80850,           177
 3024,         11648,            1290,             16,     83545,        4062,         82,                  18295201,                        5522,                       8706,       175992,          80887,           179
 3025,         11651,            1290,             16,     83486,        4061,         87,                  18307301,                        5524,                       8377,       176005,          80891,           194
 3026,         11658,            1292,             16,     82851,        4026,         85,                  18319405,                        5526,                       8426,       176069,          80925,           179
 3027,         11661,            1292,             16,     83495,        4029,         82,                  18331513,                        5528,                       8601,       176159,          80959,           177
 3028,         11664,            1292,             17,     84730,        4047,         86,                  18343625,                        5530,                       8319,       176207,          80982,           191
 3029,         11667,            1292,             16,     85767,        4057,         84,                  18355741,                        5532,                       8490,       176259,          81012,           178
 3030,         11670,            1292,             17,     85569,        4067,         88,                  18367861,                        5534,                       8250,       176372,          81060,           178
 3031,         11673,            1292,             16,     85474,        4064,         82,                  18379985,                        5536,                       8644,       176398,          81080,           178
 3032,         11676,            1292,             16,     83765,        4035,         86,                  18392113,                        5538,                       8350,       176471,          81111,           178
 3033,         11681,            1293,             16,     83699,        4071,         83,                  18404245,                        5539,                       8778,       176516,          81123,           178
 3034,         11684,            1293,             16,     82923,        4051,         86,                  18416381,                        5541,                       8523,       176605,          81174,           178
 3035,         11687,            1293,             17,     83350,        4070,         84,                  18428521,                        5543,                       8478,       176659,          81197,           178
 3036,         11692,            1294,             16,     85116,        4064,         86,                  18440665,                        5544,                       8331,       176731,          81239,           179
 3037,         11697,            1295,             17,     85190,        4072,         85,                  18452813,                        5545,                       8743,       176803,          81279,           182
 3038,         11706,            1298,             16,     84999,        4054,         86,                  18464965,                        5548,                       8341,       176850,          81307,           178
 3039,         11709,            1298,             16,     84964,        4039,         81,                  18477121,                        5548,                       8438,       176959,          81364,           178
 3040,         11712,            1298,             16,     83770,        4062,         83,                  18489281,                        5551,                       8306,       176996,          81360,           179
 3041,         11715,            1298,             16,     84352,        4067,         80,                  18501445,                        5553,                       8632,       177038,          81385,           179
 3042,         11718,            1298,             17,     84423,        4081,         86,                  18513613,                        5555,                       8543,       177103,          81416,           226
 3043,         11721,            1298,             20,     84338,        4078,        117,                  18525785,                        5557,                       8642,       177168,          81451,           178
 3044,         11724,            1298,             16,     85128,        4091,         86,                  18537961,                        5559,                       8531,       177283,          81508,           178
 3045,         11727,            1298,             17,     83507,        4080,         86,                  18550141,                        5561,                       8412,       177344,          81515,           190
 3046,         11734,            1300,             17,     83841,        4114,         87,                  18562325,                        5563,                       8421,       177372,          81532,           178
 3047,         11737,            1300,             17,     85989,        4103,         87,                  18574513,                        5565,                       8440,       177462,          81590,           179
 3048,         11744,            1302,             16,     83445,        4065,         81,                  18586705,                        5567,                       8572,       177536,          81625,           179
 3049,         11747,            1302,             16,     85152,        4072,         87,                  18598901,                        5569,                       8397,       177593,          81654,           179
 3050,         11750,            1302,             16,     85802,        4097,         85,                  18611101,                        5571,                       8567,       177665,          81693,           178
 3051,         11753,            1302,             16,     87215,        4100,         87,                  18623305,                        5573,                       8376,       177693,          81703,           180
 3052,         11756,            1302,             16,     85696,        4095,         82,                  18635513,                        5575,                       8929,       177784,          81745,           180
 3053,         11759,            1302,             16,     86050,        4102,         87,                  18647725,                        5577,                       8385,       177837,          81775,           181
